ds,y,trend,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat
1949-01-01,112,107.106304458471,-22.0684151407013,-22.0684151407013,-22.0684151407013,-22.0684151407013,-22.0684151407013,-22.0684151407013,0,0,0,56.7652719473585,114.275785622336,107.106304458471,107.106304458471,85.03788931777
1949-02-01,118,109.269659809694,-30.8648612605171,-30.8648612605171,-30.8648612605171,-30.8648612605171,-30.8648612605171,-30.8648612605171,0,0,0,53.0364143770215,107.071801357127,109.269659809694,109.269659809694,78.4047985491769
1949-03-01,132,111.223658191443,-0.546077174784586,-0.546077174784586,-0.546077174784586,-0.546077174784586,-0.546077174784586,-0.546077174784586,0,0,0,82.8101222948656,138.17969657491,111.223658191443,111.223658191443,110.677581016659
1949-04-01,129,113.387013542666,-5.20696806233798,-5.20696806233798,-5.20696806233798,-5.20696806233798,-5.20696806233798,-5.20696806233798,0,0,0,79.8890537480704,137.59398405849,113.387013542666,113.387013542666,108.180045480328
1949-05-01,121,115.480583237398,-3.76168992909475,-3.76168992909475,-3.76168992909475,-3.76168992909475,-3.76168992909475,-3.76168992909475,0,0,0,81.8008085847531,141.199013986152,115.480583237398,115.480583237398,111.718893308303
1949-06-01,135,117.64393858862,33.9269974184715,33.9269974184715,33.9269974184715,33.9269974184715,33.9269974184715,33.9269974184715,0,0,0,122.266669282583,178.416746754522,117.64393858862,117.64393858862,151.570936007092
1949-07-01,148,119.737508331077,70.5341154603745,70.5341154603745,70.5341154603745,70.5341154603745,70.5341154603745,70.5341154603745,0,0,0,160.999551440503,219.40499170028,119.737508331077,119.737508331077,190.271623791451
1949-08-01,148,121.900863731615,67.8282373429386,67.8282373429386,67.8282373429386,67.8282373429386,67.8282373429386,67.8282373429386,0,0,0,161.158366083615,219.461393234368,121.900863731615,121.900863731615,189.729101074554
1949-09-01,136,124.064219132153,16.2900217869487,16.2900217869487,16.2900217869487,16.2900217869487,16.2900217869487,16.2900217869487,0,0,0,111.840915955754,167.611746075231,124.064219132153,124.064219132153,140.354240919102
1949-10-01,119,126.15778887461,-21.9749277379729,-21.9749277379729,-21.9749277379729,-21.9749277379729,-21.9749277379729,-21.9749277379729,0,0,0,76.1330147874968,134.936846375321,126.15778887461,126.15778887461,104.182861136637
1949-11-01,104,128.32114425228,-58.8786896730143,-58.8786896730143,-58.8786896730143,-58.8786896730143,-58.8786896730143,-58.8786896730143,0,0,0,41.0146726149003,98.7227095647361,128.32114425228,128.32114425228,69.4424545792656
